"Time","Events","ExG97","ExG98","ExG99","ExG100","ExG101","ExG102","ExG103","ExG104","ExG105","ExG106","ExG107","ExG108","ExG109","ExG110","ExG111","ExG112"
0:18:04.771,,137.214,214.022,-9.482,-89.865,48.000,-34.941,-74.820,17.541,-109.862,-104.000,-59.681,240.002,-96.747,82.704,-48.675,-111.505
0:18:04.771,,131.588,210.218,-11.285,-86.538,46.981,-34.438,-72.647,16.134,-106.275,-102.133,-58.506,234.143,-94.286,81.112,-46.948,-107.111
0:18:04.772,,128.632,204.143,-12.606,-83.912,44.069,-33.440,-70.643,14.568,-103.749,-97.763,-55.118,225.807,-91.119,79.537,-44.123,-104.150
0:18:04.772,,124.588,196.117,-12.676,-82.447,42.277,-31.615,-66.766,15.421,-99.490,-94.342,-55.112,218.585,-87.875,76.563,-42.674,-100.523
0:18:04.773,,119.627,191.500,-13.079,-78.187,40.587,-30.656,-66.471,14.012,-96.312,-90.177,-54.510,213.629,-82.868,74.376,-43.385,-98.195
0:18:04.773,,117.232,185.503,-9.745,-76.558,40.412,-30.563,-63.029,15.024,-95.469,-91.251,-51.960,205.313,-81.496,72.356,-41.454,-94.189
0:18:04.774,,111.162,180.347,-13.412,-76.711,39.206,-30.018,-61.364,13.957,-92.341,-86.120,-50.178,202.067,-80.072,70.911,-38.625,-88.847
0:18:04.774,,105.407,173.576,-13.752,-74.593,37.784,-28.313,-60.252,14.000,-88.502,-85.074,-46.051,196.541,-75.763,70.062,-37.673,-87.457
0:18:04.775,,103.216,170.566,-12.827,-70.104,37.210,-26.077,-59.283,13.207,-86.681,-81.335,-43.552,189.065,-74.508,64.893,-37.787,-86.049
0:18:04.775,,100.875,162.659,-14.558,-68.987,36.078,-27.894,-56.409,14.475,-83.132,-79.622,-42.728,182.703,-71.642,63.658,-33.897,-81.619
0:18:04.776,,94.326,158.331,-15.118,-65.997,35.209,-25.370,-55.198,14.659,-79.846,-75.415,-41.800,177.561,-69.721,60.493,-32.762,-79.306
0:18:04.776,,91.160,152.010,-13.586,-62.924,34.410,-22.485,-51.326,13.191,-78.146,-71.573,-41.354,171.313,-67.524,59.696,-33.519,-79.229
0:18:04.777,,88.017,148.689,-12.530,-60.734,34.046,-22.404,-49.604,15.125,-74.440,-70.851,-38.935,168.136,-68.149,57.617,-36.073,-77.964
0:18:04.777,,87.108,144.239,-10.523,-61.607,34.273,-19.528,-47.860,15.151,-72.078,-67.451,-36.990,162.588,-66.809,52.683,-36.544,-76.545
0:18:04.778,,84.898,139.900,-9.483,-58.120,33.398,-18.002,-44.702,13.440,-70.847,-67.905,-35.717,156.786,-65.810,51.521,-34.475,-74.786
0:18:04.778,,81.842,135.504,-8.636,-55.115,36.529,-16.853,-43.153,13.112,-66.251,-65.493,-35.311,152.127,-65.111,49.134,-37.963,-74.269
0:18:04.779,,79.636,131.079,-8.842,-53.680,34.376,-17.830,-42.928,14.165,-63.948,-60.318,-34.616,145.409,-62.217,47.288,-35.768,-71.851
0:18:04.779,,76.681,126.593,-8.444,-50.913,31.214,-17.037,-41.902,14.297,-64.637,-60.524,-30.577,143.893,-61.468,47.747,-33.091,-71.917
0:18:04.780,,74.203,121.026,-7.876,-47.893,29.084,-16.867,-40.496,12.701,-62.007,-60.507,-29.208,141.294,-60.445,45.423,-31.864,-66.464
0:18:04.780,,72.327,118.394,-8.355,-48.554,27.895,-18.618,-38.602,11.770,-60.187,-57.760,-29.852,138.824,-58.250,45.234,-28.017,-66.293
0:18:04.781,,71.996,113.572,-10.993,-48.460,27.106,-18.773,-39.360,10.777,-58.269,-53.965,-28.970,133.132,-54.313,44.194,-26.288,-61.315
0:18:04.781,,70.298,110.389,-8.584,-46.839,25.269,-17.440,-37.376,9.622,-58.426,-54.467,-29.031,127.986,-49.595,41.922,-24.926,-58.865
0:18:04.782,,69.318,108.748,-10.133,-45.705,23.472,-18.476,-37.877,9.905,-55.780,-52.410,-27.858,123.573,-47.749,41.615,-25.983,-54.797
0:18:04.782,,65.985,105.558,-8.449,-45.970,23.888,-17.395,-35.924,10.364,-55.941,-50.264,-26.220,121.413,-46.426,40.232,-25.588,-55.177
0:18:04.783,,63.933,101.251,-9.166,-45.100,21.909,-14.295,-36.280,8.726,-53.062,-49.229,-27.805,118.141,-42.870,40.150,-22.299,-54.030
0:18:04.783,,60.129,99.126,-8.952,-41.857,22.209,-14.729,-35.234,7.329,-50.230,-47.628,-26.617,112.294,-43.039,37.748,-19.604,-50.874
0:18:04.784,,58.106,96.651,-6.338,-41.610,24.508,-15.158,-34.444,4.946,-50.509,-45.299,-25.354,107.588,-41.772,36.553,-19.190,-48.586
0:18:04.784,,58.619,94.860,-5.612,-39.737,20.521,-13.975,-32.583,6.278,-49.746,-43.906,-25.621,104.531,-40.070,34.919,-21.169,-47.321
0:18:04.785,,58.212,92.455,-8.104,-38.729,20.975,-12.822,-32.223,7.840,-47.020,-44.755,-25.116,100.906,-39.332,35.675,-21.090,-46.751
0:18:04.785,,56.602,89.496,-6.997,-36.870,20.918,-11.500,-31.313,7.634,-46.750,-45.205,-23.418,97.546,-38.982,35.056,-20.445,-45.736
0:18:04.786,,53.147,86.172,-6.592,-36.098,19.276,-10.394,-28.057,6.214,-44.677,-42.766,-22.241,96.591,-37.486,31.909,-20.541,-44.542
0:18:04.786,,54.623,83.625,-5.109,-33.629,19.003,-11.814,-27.850,6.584,-43.433,-40.642,-23.112,93.544,-37.631,33.144,-21.586,-45.841
0:18:04.787,,52.368,82.546,-3.143,-36.018,19.702,-12.966,-26.562,5.373,-44.166,-40.005,-21.873,89.658,-35.550,32.245,-19.549,-42.130
0:18:04.787,,52.611,79.694,-3.406,-34.697,18.435,-10.791,-25.637,4.654,-41.787,-38.381,-20.966,86.457,-36.795,30.935,-19.404,-41.038
0:18:04.788,,50.664,76.794,-4.748,-32.397,17.489,-9.974,-27.033,4.657,-39.558,-36.794,-21.069,84.877,-34.210,29.730,-17.614,-40.776
0:18:04.788,,49.270,74.433,-4.400,-31.785,16.858,-9.309,-25.212,3.197,-40.358,-36.241,-20.824,84.435,-31.748,26.761,-16.822,-38.314
0:18:04.789,,48.604,71.723,-3.271,-29.328,20.034,-8.977,-26.189,2.648,-39.215,-35.002,-19.839,80.486,-33.052,26.452,-17.356,-37.712
0:18:04.789,,47.292,68.005,-6.697,-29.528,19.345,-8.023,-23.948,5.829,-38.135,-32.458,-19.427,78.091,-33.111,26.271,-16.727,-36.751
0:18:04.790,,42.980,66.473,-5.536,-28.109,18.059,-6.950,-19.790,5.804,-36.410,-33.347,-20.481,76.380,-31.003,23.482,-15.775,-35.649
0:18:04.790,,40.612,63.434,-4.865,-27.966,16.478,-8.810,-20.019,4.156,-34.365,-32.630,-17.609,75.003,-28.790,24.057,-14.699,-33.943
0:18:04.791,,39.930,63.324,-4.440,-28.106,16.527,-9.915,-21.187,4.268,-34.762,-30.638,-17.142,71.420,-26.331,25.822,-15.316,-33.569
0:18:04.791,,40.212,61.341,-3.936,-25.347,16.155,-9.203,-21.395,2.518,-35.496,-28.067,-16.083,69.796,-28.845,22.352,-13.610,-30.289
0:18:04.792,,40.801,59.162,-4.514,-26.074,14.023,-9.246,-20.295,0.581,-32.687,-25.918,-15.657,66.046,-25.186,23.643,-13.464,-31.292
0:18:04.792,,35.622,57.002,-6.790,-25.611,12.656,-10.240,-20.868,2.143,-30.309,-26.622,-17.551,64.790,-24.652,24.959,-9.498,-25.028
0:18:04.792,,31.641,53.953,-9.673,-23.050,12.196,-8.256,-20.581,2.866,-29.737,-25.819,-15.498,62.884,-21.554,24.197,-8.230,-25.232
0:18:04.793,,30.686,51.666,-7.314,-23.698,9.630,-10.513,-18.496,2.459,-29.739,-24.732,-13.275,61.548,-18.345,21.918,-8.531,-23.256
0:18:04.793,,33.177,51.843,-8.306,-23.436,9.730,-8.900,-19.264,-0.436,-26.399,-23.920,-13.422,58.473,-18.964,22.153,-9.506,-22.769
0:18:04.794,,29.307,50.085,-6.037,-22.324,9.420,-6.242,-20.818,1.589,-26.338,-22.854,-12.532,56.871,-19.194,23.804,-8.902,-25.968
0:18:04.794,,30.243,46.846,-5.608,-22.209,9.492,-7.455,-20.203,0.019,-23.910,-22.267,-11.025,58.272,-19.621,20.149,-7.326,-25.534
0:18:04.795,,28.513,43.496,-6.328,-20.118,10.089,-7.652,-19.015,0.016,-23.673,-20.170,-10.691,56.129,-19.058,19.234,-8.540,-22.313
0:18:04.795,,26.950,43.674,-6.297,-19.496,9.519,-7.849,-18.193,0.134,-23.032,-20.719,-10.334,56.932,-20.507,20.033,-7.873,-22.852
0:18:04.796,,29.827,43.104,-6.778,-18.753,7.689,-7.785,-15.642,-0.137,-23.444,-20.402,-9.136,54.172,-19.335,18.948,-8.925,-23.425
0:18:04.796,,28.299,43.724,-6.281,-19.846,8.881,-7.235,-16.114,-0.553,-23.349,-21.891,-8.682,52.300,-17.161,17.094,-8.494,-20.787
0:18:04.797,,24.184,42.883,-8.203,-20.054,8.203,-6.389,-15.501,-1.457,-19.084,-19.542,-10.894,52.103,-15.752,15.804,-7.822,-18.470
0:18:04.797,,23.522,38.464,-9.771,-17.156,8.701,-5.725,-14.533,1.333,-18.427,-19.384,-10.323,48.434,-16.136,17.773,-6.206,-20.469
0:18:04.798,,20.553,38.636,-7.282,-13.437,6.994,-5.921,-15.840,-0.892,-20.859,-16.624,-9.218,47.383,-15.944,18.166,-5.903,-19.698
0:18:04.798,,23.058,39.146,-4.868,-13.137,6.953,-3.260,-14.235,-0.593,-21.388,-18.028,-10.025,46.396,-17.856,15.875,-6.961,-21.119
0:18:04.799,,22.779,40.626,-4.483,-13.136,9.370,-1.838,-10.470,-0.290,-19.640,-17.742,-10.589,43.535,-18.210,11.114,-8.951,-21.952
0:18:04.799,,24.236,40.152,2.193,-12.094,11.692,-1.466,-9.931,1.857,-19.590,-19.241,-9.697,41.132,-19.181,8.182,-13.102,-25.166
0:18:04.800,,26.562,38.378,1.632,-10.355,12.072,-2.376,-7.223,2.037,-18.734,-18.533,-8.901,38.461,-22.533,8.545,-14.969,-24.008
0:18:04.800,,26.939,35.781,-0.906,-8.907,9.870,-2.723,-7.675,2.156,-17.816,-15.995,-8.575,38.610,-19.807,7.125,-14.894,-23.145
0:18:04.801,,26.384,34.276,-1.436,-10.065,9.334,-3.153,-8.664,1.811,-17.278,-15.233,-6.783,39.919,-20.831,7.230,-13.118,-22.304
0:18:04.801,,26.942,32.711,-1.079,-12.650,9.279,-3.592,-8.477,0.961,-16.161,-13.722,-7.357,36.481,-19.172,8.420,-11.742,-20.773
0:18:04.802,,23.913,32.463,-1.066,-11.756,10.403,-2.352,-9.805,-0.007,-17.159,-14.109,-6.967,34.306,-15.756,8.912,-11.223,-19.816
0:18:04.802,,20.877,31.517,0.292,-8.112,10.273,-2.228,-8.903,1.089,-18.971,-15.812,-7.003,31.757,-15.777,10.072,-11.131,-18.063
0:18:04.803,,21.431,31.484,-1.407,-7.612,9.427,-0.934,-8.044,0.189,-18.472,-16.351,-7.687,29.690,-16.701,8.865,-8.290,-15.576
0:18:04.803,,17.913,29.590,-2.344,-9.428,7.332,-0.900,-7.893,-0.027,-18.853,-15.258,-7.718,30.017,-14.867,13.044,-6.579,-14.097
0:18:04.804,,18.412,29.213,0.657,-10.020,7.741,-0.992,-9.546,-1.516,-16.847,-15.092,-9.299,31.445,-12.944,10.153,-7.809,-13.624
0:18:04.804,,18.941,29.715,0.807,-7.939,8.454,-1.137,-10.774,-0.230,-18.635,-15.636,-9.443,30.485,-12.162,8.608,-6.466,-14.656
0:18:04.805,,21.174,28.065,1.250,-7.446,9.382,-0.771,-9.227,-1.032,-17.754,-13.442,-9.041,29.461,-12.116,7.151,-8.260,-17.324
0:18:04.805,,21.192,28.185,1.608,-8.893,8.202,0.067,-8.041,-0.376,-15.298,-13.772,-9.035,28.499,-13.976,6.760,-8.035,-16.996
0:18:04.806,,18.134,27.787,0.949,-10.913,6.637,0.647,-6.327,1.042,-16.073,-13.254,-6.258,28.960,-13.980,6.939,-10.259,-13.975
0:18:04.806,,19.055,24.469,-0.826,-10.655,8.296,1.029,-7.292,-0.403,-15.305,-11.659,-6.802,27.484,-12.149,6.339,-7.564,-14.065
0:18:04.807,,17.340,25.808,-2.633,-6.341,6.908,-1.313,-7.483,0.768,-15.373,-9.414,-6.529,25.231,-12.278,5.636,-5.847,-14.378
0:18:04.807,,14.553,24.445,-0.956,-6.320,6.663,-2.452,-8.636,-0.103,-15.886,-9.552,-5.410,20.593,-9.124,7.619,-4.054,-11.257
0:18:04.808,,14.008,22.778,-0.920,-8.008,3.450,-3.351,-9.034,1.629,-15.485,-8.637,-4.881,22.529,-7.835,7.846,-4.655,-9.534
0:18:04.808,,14.566,21.417,-0.076,-4.741,3.495,-3.653,-9.642,-2.251,-14.613,-9.095,-4.886,23.021,-6.633,9.619,-4.837,-11.766
0:18:04.809,,14.869,20.841,1.256,-6.906,5.029,-2.354,-5.124,-3.449,-12.656,-9.330,-4.083,19.626,-8.122,6.923,-4.400,-12.242
